ln_hf,rsa_mssd,vlf,vlf_mssd,ln_vlf,lf,lf_var,lf_mssd,lf_autocorr,ln_lf,ln_lf_mssd,ln_lf_autocorr,p_pow,p_pow_var,p_pow_autocorr,p_hz_autocorr,sdnn,sdnn_autocorr,t_pow,t_pow_autocorr,d_pow,d_pow_var,d_pow_autocorr,hf_norm,hf_p_norm,p_pow_norm,coh_ratio_norm,t_pow_norm,valence
-1.461720397432513,-0.2456288487939437,-0.5799879563634022,-0.18371640550733132,-0.8132594914159709,-0.7348797948587555,-0.31416867373781204,-0.237741544998072,-0.3343128736447561,-0.7940704118511275,0.8279776176315946,-0.44936951280738174,-0.6720180108916692,-0.2694101323883318,-1.2786429228055738,-1.2518507246091284,-0.8697323793241662,-0.38394907518734805,-0.7366363660033634,-0.9992435695795239,-0.637533595418945,-0.2129199507215478,0.11106885421171903,-0.5617088794222644,-0.8646158980721436,-0.03186998722049978,0.05098537601206114,-0.15047102145846467,-1
-1.5149487879045205,-0.48473655001514204,0.12140702947824258,-0.1290626145610995,0.5268971899334852,-0.8302190654256201,-0.29148205121690823,-0.3059705435570022,0.5058293613930807,-1.0597291773880544,0.6342079416478312,0.4365531810042802,-0.7480281138926713,-0.25779721377272424,0.6739590209221176,0.8333315999227763,-0.37995384668798676,1.1399318868265687,-0.5354449410168144,0.9596592666631636,-0.0818765476962179,0.1130794839198301,0.8369118560676806,-0.5468331117154972,-1.102565481361672,-0.2292693640672203,-1.206408053395072,1.0148876031654368,-1
-1.2887356586390553,-0.4206912497477204,-0.02973259634932185,-0.14276970817253284,0.3379795691799444,-0.9196984438560107,-0.327218947349024,-0.364772913891475,0.6679220895245525,-1.3389793669639583,-0.1422653724933191,0.6410562421070483,-0.7487805799941465,-0.2707480782564546,0.7113293500732532,0.8197522060839981,-0.18343021212182206,0.9359931783482228,-0.6075196271547065,0.9707018217328721,-0.13540133487425854,0.12264404962888122,0.8389079891194062,-0.24348059963034036,-0.8873687352842831,-0.12474777919758015,-1.19456809288618,1.2913239170274236,-1
-1.6449178728244,-0.3060896709407951,-0.5401805624897187,-0.18910475104900618,-0.6619542975166056,-0.874625770343337,-0.33831650841607475,-0.28016407779643165,-1.2326575333609788,-1.1807284151492876,1.58963873286896,-1.4001903264782394,-0.8027119716208041,-0.28536422418125557,0.6253425018360746,0.9344945406896392,-0.3697501972750909,1.0392246274583556,-0.7807275332159616,0.04455589921866777,-0.6002944641961102,-0.21467451078229527,0.39360881965869904,-0.3344528647091573,-0.6602704292818021,-0.217883461885511,-0.5867235517598794,0.11581465185343874,-1
-0.5166449086504197,-0.42253481467580856,0.023066506251557973,-0.006039440750992238,0.19750262031191418,-0.5256159394769876,-0.2544000504055506,-0.27835598258835825,0.5776731845179753,-0.3650369276536769,-0.13251084893044213,0.56946180666413,-0.5335890111485381,-0.2132330863296128,0.8604257893273576,1.0254495255338825,-0.44391899816009517,1.1240983387705286,-0.3888544180664605,0.9636393858697817,-0.45476075196065563,0.002908108711200281,0.8206282339938277,-0.8071126331496267,-0.9428240824045666,-1.1009614857086611,-0.7114370354883216,-0.9389691725787487,1
-0.4754288695372414,-0.33198943075475196,0.3986847889719279,-0.07236746065982184,0.8725203454465426,-0.14200947485106527,-0.29579596942150466,-0.07519908992532495,-1.0926003756055698,0.1972908138118826,-0.08178553509543875,-0.8181155897507123,-0.5049237644741401,-0.2887760249726824,1.192052026296154,0.6073584663380388,0.07523177558557727,0.9897691308577211,-0.12046658360157546,0.8411253415446691,-0.32311966765772987,-0.18819520787377883,0.5964635875422248,-0.8064087314450985,-1.088000886761844,-1.0790773575699826,-1.1069756064975884,-0.8140661978765447,1
-0.27979531666493357,-0.4632214178023466,0.2806123716085096,-0.18102137499995846,0.7822411583196482,0.0005026583262679207,-0.19710445422132344,-0.35893820077760064,0.9174042311908225,0.35344143433099534,-0.6006417284179129,0.9123149016808589,-0.3979113250473907,-0.321423798163247,0.7992996678913331,-1.4166241480664896,0.1464864294956514,1.0280421009160663,-0.08511765113672126,0.9596029133431632,-0.24422662720631277,-0.19505609104888064,0.726746943729169,-0.7906841685227572,-1.0635277317747078,-1.0361440078395017,-1.0573465582891217,-0.7640574575155096,1
-0.21840100262551054,-0.5251778936370339,0.5738361935276627,-0.1823427503770577,1.0211776080426986,0.02066597132242721,-0.3345450579925198,-0.37800537785964394,0.8077374671893871,0.38081334738310496,-0.6328292958433931,0.7935190274604729,-0.3409202621752643,-0.32197673282173045,0.5138116233965043,-1.9807504495291959,0.20553901056696683,1.0400114075889775,0.02999979807288451,0.5391355276558979,-0.11247271379087224,-0.21493645782219645,0.32136119068234653,-0.7723539845640482,-1.0655338601552944,-0.9470171133281483,-0.975858720574309,-0.6559551261820799,1
-0.13107497387592437,-0.5130397413286245,0.39260995477168753,-0.18777072023755315,0.8811358544743308,0.024239006350824165,-0.343248188124944,-0.3810230769415802,0.7537616415385836,0.3848995046246747,-0.6381926682473049,0.7544539958546946,-0.2928831219906364,-0.3187378278703208,-1.318141912227509,-1.4793103517808992,0.22096014040674333,0.6590598762796016,-0.01699760886648256,0.40996452476907563,0.02484607852502586,-0.18522972613028824,0.6240544230778089,-0.7443458984304476,-1.017848278123715,-0.8483215655303344,-0.7962050043472666,-0.5987432268669394,1
0.17131439406434426,-0.5024103523433383,1.8527745135639737,0.49007884483989533,1.5747144170661533,0.17056624902559558,-0.0839145055233323,-0.264589703720818,0.8139456308554128,0.5197123885140761,-0.47712731588639895,0.802885671482981,-0.1441851965823669,-0.29003240660820506,0.437396946022659,0.9080643809044936,0.5545691572513628,1.1402788661675212,0.5853762517306904,0.9709466156892843,0.859491882783382,2.100761331675578,0.8286784624330258,-0.6909199298283831,-1.0784256435067545,-0.7492827300375549,-1.1549367150873655,-0.10053672684753363,1
1.3115432509786356,0.2460694254916771,0.09026196408916509,2.8256437074433114,0.20080090926179772,0.8830456673665751,0.2804813693538407,0.611392929695595,0.3518919322402862,1.0620193260014836,0.06455854130996291,0.40356383090446574,0.7818220869444844,-0.09964506847474391,0.2079679460097591,0.6612503710952049,1.9519305009692687,0.6704129175989281,0.6790256823789815,0.5721669306442384,0.7053281457260676,0.41918752660876524,-3.9454963802676093,-0.44483949869531575,-0.4908413993988443,-0.48045813371986834,-0.3129622913147218,-0.3718462661958354,-1
1.0929600513021955,3.2868722945935693,0.8621828766591199,0.08571194262507523,1.209253486187348,0.4256311201937599,-0.16781527563122228,-0.04635745373470761,0.2948232180358933,0.7452026001771093,-0.31611437479202487,0.23760366633152996,0.30043465924606894,0.31565220949931194,0.6137347733882907,0.650682591965524,1.7884034545325287,0.4677649000923318,0.6626487855882914,0.06249155106881695,0.47214022095860453,0.08794538260083376,-0.3971520284916102,-0.5298222907838973,-0.649859763701351,-0.6863648729159558,-0.738433619830238,-0.4128300322132479,-1
0.892041982894665,0.10853692845817109,0.5224767519004386,-0.14255020391007317,0.9725665477042567,0.5611210442357024,-0.31806660840683953,-0.2708953296424101,-0.10909126011092425,0.8534070046926243,-0.5594741143723808,-0.1329097337726343,0.17592377831267406,-0.2355752870375969,0.8713225989235709,0.9641100919557066,1.597513771230837,1.0079323538650184,0.49216983225500377,0.8899659620117036,0.1594540985740886,-0.17217993306329793,0.04880048389739389,-0.5983537242042527,-0.7608880750971779,-0.7647156419516621,-0.8411634159359984,-0.44943989460496375,-1
0.9918575206068406,0.2571274959270387,0.27725396604429775,-0.14867165471500432,0.7782224444044712,0.4538059356245907,-0.3053163223322346,-0.3402273306845703,0.6228989011156263,0.7711207032734588,-0.6092234248048879,0.6254736187913262,0.21147032542036429,-0.3151912147678871,0.8807878161045194,0.5694484878167949,1.5976864034363196,0.9063777772273984,0.41485996045857876,0.7735798864453616,0.12402117671985559,-0.16680272716359382,-3.8720778544950645,-0.5291634309605875,-0.625974652874598,-0.6359410775770179,-0.5835220731894633,-0.4302291435041384,-1
1.0228250346175993,2.7289554937338854,0.7664517626507644,0.11197180738621679,1.098225456808534,0.43412299457257586,-0.17334035671925338,0.07240322984370483,0.054790225582969775,0.7522418882995411,-0.24835458386035902,0.0511459703285423,0.26076363641997347,-0.269508770185009,0.2539322384001567,1.3618260521650891,1.3854538725564773,0.5240761439977645,0.5882243501993526,0.8029249859601052,0.4398701284229297,0.5109145091443671,0.7822147111564731,-0.4631554062074887,-0.6734130562437886,-0.48277349169586403,-0.6339792007901156,-0.19469859735393155,-1
0.8707420248289622,0.9549930825709948,0.3753569444913382,0.05726481027863714,0.8050270847066645,0.4972532433741479,-0.001874757828723182,0.27727923440918745,0.2869732442564589,0.7969917914258714,0.021738642856983362,0.23068680303706562,0.27127954972876467,-0.12984059840588374,0.23199793018675885,0.16301628096717266,1.0856152595327109,0.8748204471768419,0.4193688471190513,0.6735771422770981,0.5491231282301446,-0.09687602584703506,0.02838601455579259,-0.5001944619891051,-0.726722088735105,-0.4745668333497299,-0.5770485641487548,-0.22103999377490702,-1
1.8394727631181043,1.6637276737132196,-0.1280035583484062,-0.056126285638123705,0.3052477782133628,-0.34540891850106004,-0.3374937357027559,-0.2574091938680716,-1.5263389079860257,-0.06621585942538911,-0.24415213640091318,-1.6990640625924964,0.5901300896191317,0.2866490184842572,-0.3075384238386443,-0.13428024981239464,2.2996937060907934,0.30710265664029296,0.5927258072931832,-0.43891932543971934,0.9668078278412626,0.34506760821775806,-2.1514659981320974,-0.1586817223323939,0.15157020236434807,-0.5708827371478352,-0.45801245972395344,-0.4176778496842112,1
2.001359754167411,1.1338999014471425,-0.3498281066959104,-0.15508384381155654,-0.10011219073980014,0.05892181656275184,-0.15617352505744173,0.01002811724005097,0.21982160971279993,0.41224151871118403,-0.04646313858175325,0.2505466569101219,0.9643272601894712,-0.29004312843219887,0.595722606477004,1.1885526161134343,2.3223490114800045,-0.321310589389207,0.8425262824930538,-0.23379232756955567,0.6682822863691109,0.003587221877027428,-2.509452085745383,-0.057875983545763024,0.1901116982277032,-0.36263458689552364,-0.2116245284197334,-0.32066818737314234,1
